State FIPS,R County FIPS Code,R State Name,R County,R Metropolitan Statistical Area FIPS Code,R  Metropolitan Statistical Area of County,State FIPS Code,County FIPS Code,State Name,County,Metropolitan Statistical Area FIPS Code,Metropolitan Statistical Area of County,travel_mode,workers_in
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA",Public transportation,20
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA",Other travel mode,30
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,97,California,Sonoma,42220,"Santa Rosa, CA", Drove alone,3833
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,97,California,Sonoma,42220,"Santa Rosa, CA", Carpooled,308
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,97,California,Sonoma,42220,"Santa Rosa, CA",Public transportation,109
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,97,California,Sonoma,42220,"Santa Rosa, CA",Other travel mode,52
6,47,California,Merced County,32900,"Merced, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,702
6,47,California,Merced County,32900,"Merced, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,210
6,47,California,Merced County,32900,"Merced, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",Public transportation,2
6,47,California,Merced County,32900,"Merced, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,153
6,47,California,Merced County,32900,"Merced, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,27
6,47,California,Merced County,32900,"Merced, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",Other travel mode,27
6,47,California,Merced County,32900,"Merced, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,190
6,47,California,Merced County,32900,"Merced, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,51
6,47,California,Merced County,32900,"Merced, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",Public transportation,10
6,47,California,Merced County,32900,"Merced, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA", Drove alone,2561
6,47,California,Merced County,32900,"Merced, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA", Carpooled,1080
6,47,California,Merced County,32900,"Merced, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA",Other travel mode,8
6,47,California,Merced County,32900,"Merced, CA",6,97,California,Sonoma,42220,"Santa Rosa, CA", Drove alone,15
